Ticker,model,nobs,r2,adj_r2,lb_pval_L12,lb_pval_L24,bg_pval,arch_lm_pval,lb_sq_pval_L24
AAPL,UNI(EMA_02),536.0,0.0001374207125047766,-0.0017349811213669408,0.20000206366710427,0.14438644337024029,0.22936029824702153,2.9688860225249733e-15,3.649917032408019e-17
AAPL,UNI(EMA_08),536.0,0.0006928743501759538,-0.0011784873083442449,0.19420045915591666,0.14011988191843985,0.2207145840464111,3.5407768539283195e-15,5.504165351565432e-17
AAPL,UNI(normalized_AINI),536.0,0.0005342671975735458,-0.0013373914780863139,0.19254086964766087,0.13912408871223503,0.2171080459896494,4.240199601603696e-15,6.804905112583439e-17
AIQ,UNI(EMA_02),536.0,0.00010331093200344199,-0.001769154777861548,0.7968022909974454,0.22003318497963087,0.8392508657403933,4.711658854580981e-13,1.6194448180746642e-13
AIQ,UNI(EMA_08),536.0,0.0004973228702948029,-0.00137440498949859,0.7833837510767772,0.1978621994885707,0.8295855043053497,7.134140922627836e-13,2.38558144180033e-13
AIQ,UNI(normalized_AINI),536.0,0.00037169091783584296,-0.0015002722077861463,0.7833811210125172,0.19716636663902534,0.8295850518967318,8.312887561240406e-13,2.805463548921958e-13
AMD,UNI(EMA_02),536.0,0.002445870786110027,0.0005777918924512182,0.22618401440248406,0.3753908401877709,0.23389115773824443,0.045042108657211366,0.25472371871016275
AMD,UNI(EMA_08),536.0,0.003770286447016491,0.0019046877324978562,0.20410030007775748,0.32780817479089425,0.21845343164802927,0.06334703518886543,0.3274986673331848
AMD,UNI(normalized_AINI),536.0,0.0026849293889863457,0.0008172981706137117,0.2055070984827327,0.3247429561303166,0.22095332577526047,0.06590394178346158,0.3404686255966181
AMZN,UNI(EMA_02),536.0,0.003822080906255021,0.0019565791851058334,0.22827146095303613,0.29685193150266076,0.1470499318348299,1.0257702605547248e-05,0.0001338607773070488
AMZN,UNI(EMA_08),536.0,0.001853540613330984,-1.564751286120547e-05,0.24039693454381805,0.33109280809256325,0.15405648989180065,3.385161725986462e-05,0.0004725454845073137
