Ticker,model,nobs,r2,adj_r2,lb_pval_L12,lb_pval_L24,bg_pval,arch_lm_pval,lb_sq_pval_L24
AAPL,UNI(EMA_02),536.0,3.0458629767138312e-05,-0.001842143507630123,0.1989328066920299,0.1417192851648073,0.22278064216260543,3.967017923089187e-15,5.655331621397755e-17
AAPL,UNI(EMA_08),536.0,0.002919071404766882,0.0010518786545886671,0.21067587244304142,0.16016031187759758,0.2355949253422836,2.4010416061203385e-15,2.7240077109717872e-17
AAPL,UNI(normalized_AINI),536.0,0.0037166928505223407,0.0018509937734635384,0.20593181959668116,0.16738919363927524,0.23097816806207735,2.578851827834455e-15,2.9966168241810144e-17
AIQ,UNI(EMA_02),536.0,0.0012617047920862046,-0.0006085916408873349,0.8047931813399719,0.19467598850583487,0.8449997436521576,5.505672823268237e-13,1.4349185151963859e-13
AIQ,UNI(EMA_08),536.0,0.0003715033481278551,-0.001500460128748271,0.8032441235370832,0.21232651745924627,0.8445849588018374,6.927205669275751e-13,1.9836014525186298e-13
AIQ,UNI(normalized_AINI),536.0,0.0002451109900726278,-0.001627089176612584,0.7998069256466809,0.21432459548571722,0.8421125235685519,7.056379287686112e-13,2.147326705543218e-13
AMD,UNI(EMA_02),536.0,6.0052010513178544e-05,-0.0018124947085682575,0.24032641976679617,0.37202333785342084,0.25255857458901193,0.06576281772471078,0.3453281747161517
AMD,UNI(EMA_08),536.0,0.0007759531753225302,-0.001095252904873334,0.2659516963200453,0.39052594223940806,0.2764976031548656,0.06435870540068096,0.3426675273927898
AMD,UNI(normalized_AINI),536.0,0.0010870426136030398,-0.0007835809021017326,0.26659042740271893,0.3882120895547532,0.2764985342061766,0.06782345760564325,0.3548210226577756
AMZN,UNI(EMA_02),536.0,0.0010080375705362465,-0.0008627338946873842,0.20190049437273755,0.2982653447117966,0.12331181329200869,4.8854096380967027e-05,0.0006720792678130385
AMZN,UNI(EMA_08),536.0,8.101459230025476e-06,-0.0018645425455279252,0.2235488265021793,0.31636782312885653,0.14301107032466104,6.690697376028441e-05,0.0008582499074809114
AMZN,UNI(normalized_AINI),536.0,0.00017488131083431835,-0.0016974503721041145,0.23163092675500502,0.32222532410412924,0.15107469034748883,7.478234421851135e-05,0.0009329248571724262
ARKQ,UNI(EMA_02),536.0,0.00012729611948991693,-0.0017451246742936632,0.09735305671487468,0.04490627281981497,0.16573910566262345,1.2807897465442115e-07,1.0050338280636537e-08
ARKQ,UNI(EMA_08),536.0,0.0006697771788242157,-0.0012016277328257274,0.09159664239742957,0.04254787037593055,0.159092188342575,1.1057542378588682e-07,9.829839836711741e-09
ARKQ,UNI(normalized_AINI),536.0,0.0008137708018807199,-0.0010573644587899,0.0931914257861263,0.04196628741082128,0.16089107542508102,1.0658560698255054e-07,9.164100042234367e-09
AVGO,UNI(EMA_02),536.0,0.0004861258590618256,-0.0013856229689173105,0.03974019335022892,0.2006274694518483,0.030796514257114948,0.1969234903885647,0.3161643894957559
AVGO,UNI(EMA_08),536.0,2.7061843662634644e-06,-0.001869947923902604,0.0376009993844574,0.20179264251641213,0.02890134638495255,0.2028288477944837,0.3260860287769653
AVGO,UNI(normalized_AINI),536.0,0.00018437482568911534,-0.0016879390791315618,0.036539578127679495,0.1982838550674639,0.027649810944929222,0.20733572159380834,0.33326292917728856
BOTZ,UNI(EMA_02),536.0,0.003473637646530081,0.0016074834099132351,0.864230937620651,0.5407355546781833,0.8392007643135868,6.157506873017833e-10,6.943378935509464e-10
BOTZ,UNI(EMA_08),536.0,0.0010298559804788887,-0.0008408746262991151,0.8670054520856205,0.6037259081187827,0.8391886585853192,8.167479091597617e-10,1.2552234961630694e-09
BOTZ,UNI(normalized_AINI),536.0,0.0004999678145672926,-0.0013717550921468202,0.8587525738456145,0.6152936450135522,0.8294235473144055,8.487852099136712e-10,1.512488993222849e-09
GOOGL,UNI(EMA_02),536.0,0.010146945615829073,0.008293288210615368,0.36475442720153656,0.3129017087203805,0.4464207434672568,0.9872699717778814,0.9999555408433666
GOOGL,UNI(EMA_08),536.0,0.003332988029073336,0.0014665704036597171,0.393739887532082,0.2900248653421531,0.48391063111825694,0.9876357893736121,0.9999623687282846
GOOGL,UNI(normalized_AINI),536.0,0.001996206897032171,0.00012728593616528894,0.40508509693916384,0.297494254199073,0.5003957174014005,0.9885023164715303,0.9999650844148819
IRBO,UNI(EMA_02),536.0,0.0029486043916059357,0.0010814669466464588,0.4904763124244541,0.06409983024920138,0.5609576323690386,2.764175655559431e-08,2.970211266577649e-11
IRBO,UNI(EMA_08),536.0,0.002551540662468099,0.0006836596524728566,0.48877238170066317,0.06917228180649312,0.5614026891187236,4.050568416132177e-08,4.189581155581526e-11
IRBO,UNI(normalized_AINI),536.0,0.0022180534352277403,0.0003495479173163396,0.48431834912276595,0.07267830798307783,0.556669422954905,4.124610287519034e-08,4.697130738553408e-11
META,UNI(EMA_02),536.0,0.0023604675315039847,0.0004922287066567721,0.8372088282168446,0.840437098593799,0.8770012557705,0.8976461167734331,0.9990979142130061
META,UNI(EMA_08),536.0,0.001323337722994089,-0.0005468432925057609,0.8366818680552869,0.8564561452145056,0.8757444928667484,0.9085515521233749,0.9992693628872794
META,UNI(normalized_AINI),536.0,0.0009407308714279861,-0.0009301666363032979,0.8403408269400249,0.8648244520784235,0.878506224184134,0.9094610464018064,0.999288169679448
MSFT,UNI(EMA_02),536.0,0.0014823321149272095,-0.0003875511582656088,0.7053737051783968,0.46812792216390686,0.6658210820060695,0.9297035993317357,0.9788758674956985
