Ticker,AINI_variant,Year,Direction,A2R_beta_const,A2R_beta_ret_1,A2R_beta_ctrl_n_articles_lag1,A2R_beta_x_1,p_x,N_obs,N_boot,N_boot_valid,F_stat,df_num,df_den,Original_F_pval,Empirical_F_pval,r2_u,adj_r2_u,R2A_beta_const,R2A_beta_x_1,R2A_beta_ctrl_n_articles_lag1,R2A_beta_ret_1,BH_reject_F,BH_corr_F_pval,BH_reject_F_HC3,BH_corr_F_pval_HC3,A2R_beta_ctrl_n_articles_lag2,A2R_beta_x_2,R2A_beta_x_2,R2A_beta_ctrl_n_articles_lag2,A2R_beta_ctrl_n_articles_lag3,A2R_beta_x_3,R2A_beta_x_3,R2A_beta_ctrl_n_articles_lag3
AAPL,EMA_02,2023,AINI_to_RET,-0.0017658776715552646,0.06534636585352624,0.00016730297572321092,0.005012648998582466,1,186,1,1,0.045032633278578184,1,182,0.8321815066361473,,0.023293488545310215,0.007193930664189052,,,,,False,,False,0.9957933641599145,,,,,,,,
AAPL,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,0.9415023253754925,1,182,0.33317951894794773,,0.6073848744144601,0.600913196520193,-0.01801462874442209,0.7643284841734146,-6.455378206215828e-07,-0.12329908823738653,False,,False,0.33317951894794773,,,,,,,,
AAPL,EMA_08,2023,AINI_to_RET,-0.002110809011187129,0.06496747119403481,0.00016614668516714857,6.74981680258755e-05,1,186,1,1,2.78732031600309e-05,1,182,0.9957933641599145,,0.023103441490921584,0.007000750966046687,,,,,False,,False,0.9957933641599145,,,,,,,,
AAPL,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,1.1237688867443687,1,182,0.2905131527684185,,0.07407905997854847,0.05881662690127187,-0.05509093682318116,0.2578152728038137,-0.00013623602019116398,-0.44208552706100723,False,,False,0.33317951894794773,,,,,,,,
AAPL,normalized_AINI,2023,AINI_to_RET,-0.0020660117560326453,0.06493095757143406,0.0001666085980575458,0.0007674294845746311,1,186,1,1,0.00483184592453839,1,182,0.9446588092864096,,0.02312923530768507,0.007026969955614026,,,,,False,,False,0.9957933641599145,,,,,,,,
AAPL,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,0.9929325707913366,1,182,0.320349660919354,,0.01709304299274461,0.0008912799651525916,-0.06684888592842567,0.10444106865029393,-0.00014540992150786499,-0.497683208267901,False,,False,0.33317951894794773,,,,,,,,
AAPL,normalized_AINI_z,2023,AINI_to_RET,-0.0021249891407314494,0.06493095757143177,0.00016660859805755145,6.096864768897716e-05,1,186,1,1,0.004831845924538756,1,182,0.9446588092864096,,0.02312923530768518,0.007026969955614137,,,,,False,,False,0.9957933641599145,,,,,,,,
AAPL,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,0.9929325707913592,1,182,0.320349660919349,,0.0170930429927445,0.0008912799651524805,0.024863886611284042,0.10444106865029373,-0.001830315503866115,-6.264478260218318,False,,False,0.33317951894794773,,,,,,,,
AIQ,EMA_02,2023,AINI_to_RET,-0.0033670230625444525,0.08204308108178872,0.00019593148305769028,-0.015032412552261136,1,186,1,1,0.31391922362217883,1,182,0.5759741043673559,,0.038706511033564706,0.02286101396268947,,,,,False,,False,0.5759741043673559,,,,,,,,
AIQ,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,0.6044228587026316,1,182,0.43790484946558295,,0.6066941045516878,0.6002110403410014,-0.01726406286910621,0.7676482208279556,-4.2043439732162714e-05,0.10383404921554655,False,,False,0.8727511815245131,,,,,,,,
AIQ,EMA_08,2023,AINI_to_RET,-0.0031966007003511976,0.08597331221062485,0.00019176640879878463,-0.013365827109096664,1,186,1,1,1.0371249253569346,1,182,0.30984293209955177,,0.04320247162344959,0.027431083793066913,,,,,False,,False,0.4322384055159712,,,,,,,,
AIQ,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,0.06302516635333408,1,182,0.8020601039472002,,0.06865574597637325,0.05330391761334652,-0.05364861244476676,0.2583483364298185,-0.00024246994794802486,0.10432999745028071,False,,False,0.8727511815245131,,,,,,,,
AIQ,normalized_AINI,2023,AINI_to_RET,-0.0029769111337581942,0.08815352360797173,0.00019209205169452615,-0.010340255224602394,1,186,1,1,0.977299811238978,1,182,0.3241788041369784,,0.04200921542806002,0.026218158539511593,,,,,False,,False,0.4322384055159712,,,,,,,,
AIQ,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,0.0257251821500566,1,182,0.8727511815245131,,0.011946527371764382,-0.004340068330898728,-0.0653948943115775,0.10345670506908117,-0.00025938674666226144,0.07822191219262473,False,,False,0.8727511815245131,,,,,,,,
AIQ,normalized_AINI_z,2023,AINI_to_RET,-0.002182256742009458,0.0881535236079739,0.00019209205169449102,-0.0008214844366480196,1,186,1,1,0.9772998112389976,1,182,0.3241788041369734,,0.04200921542806024,0.026218158539511816,,,,,False,,False,0.4322384055159712,,,,,,,,
AIQ,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,0.02572518215005668,1,182,0.8727511815245131,,0.011946527371764382,-0.004340068330898728,0.04411790111223825,0.10345670506908104,-0.003264973799518574,0.9846011685000027,False,,False,0.8727511815245131,,,,,,,,
AMD,EMA_02,2023,AINI_to_RET,-0.006275061820808798,-0.07026895973394298,0.00036211743342418263,-0.030301749500901445,1,186,1,1,0.30297405672019045,1,182,0.5826988784928195,,0.019044189061330208,0.0028745877821214627,,,,,False,,False,0.8359671019015062,,,,,,,,
AMD,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,0.404213379089827,1,182,0.525719912013773,,0.6058533924497522,0.5993564703472756,-0.01750000287772092,0.766540938014193,-2.881771317721402e-05,0.023899194800748366,False,,False,0.6462080160553365,,,,,,,,
AMD,EMA_08,2023,AINI_to_RET,-0.005244837323038591,-0.06970999881910338,0.0003607683971781802,-0.01632428972198609,1,186,1,1,0.28295693535869376,1,182,0.5954183712244707,,0.019334183179094522,0.0031693620227060126,,,,,False,,False,0.8359671019015062,,,,,,,,
AMD,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,0.211416752142563,1,182,0.6462080160553365,,0.06900619150375875,0.05366013971535921,-0.05371322194880602,0.2593742760360024,-0.00023429681557269843,0.06052952663408802,False,,False,0.6462080160553365,,,,,,,,
AMD,normalized_AINI,2023,AINI_to_RET,-0.004517397551091336,-0.06885219632191986,0.0003660840916589697,-0.005428378310961141,1,186,1,1,0.042994684696689725,1,182,0.8359671019015062,,0.018069686211314884,0.0018840216983145863,,,,,False,,False,0.8359671019015062,,,,,,,,
AMD,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,0.2170150095318829,1,182,0.6418808175727209,,0.012556343129145442,-0.0037202006654291075,-0.0654048219201281,0.10449005784030278,-0.0002579444772031831,0.07557180743896398,False,,False,0.6462080160553365,,,,,,,,
AMD,normalized_AINI_z,2023,AINI_to_RET,-0.004100223644725293,-0.06885219632191984,0.00036608409165896837,-0.00043125901651654044,1,186,1,1,0.042994684696688774,1,182,0.8359671019015062,,0.018069686211314884,0.0018840216983145863,,,,,False,,False,0.8359671019015062,,,,,,,,
AMD,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,0.217015009531882,1,182,0.6418808175727209,,0.012556343129145331,-0.0037202006654291075,0.04299333650352734,0.10449005784030284,-0.0032468195489395004,0.951243555985029,False,,False,0.6462080160553365,,,,,,,,
AMZN,EMA_02,2023,AINI_to_RET,-0.0009659557514162694,-0.10409040971657477,0.00032273429471799077,0.032082687784013894,1,186,1,1,0.5988510956440343,1,182,0.4400207520797197,,0.03135679865491792,0.015390152478900188,,,,,False,,False,0.4400207520797197,,,,,,,,
AMZN,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,1.291810003535886,1,182,0.25720895253459247,,0.6078854138272844,0.6014219865826793,-0.01746531084075703,0.7643369556496573,-4.671556706082785e-05,0.08286465143561518,False,,False,0.9488017129065772,,,,,,,,
AMZN,EMA_08,2023,AINI_to_RET,-0.0018597654464672447,-0.10345273377156013,0.00032552103573655727,0.020241541509884553,1,186,1,1,0.8532690888886157,1,182,0.35685221076563256,,0.03337083154346898,0.01743738371176795,,,,,False,,False,0.4400207520797197,,,,,,,,
AMZN,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,0.031212464060688363,1,182,0.8599636600821352,,0.06849495690199559,0.05314047816961098,-0.053715320445008985,0.2585141300673122,-0.00023523046750159436,0.040342697655892754,False,,False,0.9488017129065772,,,,,,,,
AMZN,normalized_AINI,2023,AINI_to_RET,-0.0021222712168580795,-0.10354009388484223,0.0003251420347566633,0.016667064587009308,1,186,1,1,0.8496128447863889,1,182,0.3578821259269259,,0.032993223138967576,0.01705355099290662,,,,,False,,False,0.4400207520797197,,,,,,,,
AMZN,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,0.004134523852712472,1,182,0.9488017129065772,,0.011843028935384692,-0.0044452727854604746,-0.06545644862915655,0.10393859512575195,-0.0002501759690101935,0.016427014327594046,False,,False,0.9488017129065772,,,,,,,,
AMZN,normalized_AINI_z,2023,AINI_to_RET,-0.0034031444432842837,-0.10354009388484278,0.0003251420347566759,0.001324119556571344,1,186,1,1,0.8496128447863844,1,182,0.3578821259269259,,0.032993223138967576,0.01705355099290662,,,,,False,,False,0.4400207520797197,,,,,,,,
AMZN,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,0.004134523852712602,1,182,0.9488017129065772,,0.01184302893538458,-0.004445272785460697,0.04287694832196935,0.10393859512575208,-0.003149035155411889,0.20677144100090847,False,,False,0.9488017129065772,,,,,,,,
ARKQ,EMA_02,2023,AINI_to_RET,-0.0032111839596991876,0.12579365259299288,0.00015769899213500995,-0.014913821922454946,1,186,1,1,0.1828008397839659,1,182,0.6694826459607357,,0.028047837197437975,0.012026647700692505,,,,,False,,False,0.6694826459607357,,,,,,,,
ARKQ,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,0.8008704931191581,1,182,0.37201522658492026,,0.6066033507453423,0.600118790592793,-0.01745231848648961,0.7669044268931027,-3.0435499590735445e-05,0.07447320161961088,False,,False,0.4474177748032737,,,,,,,,
ARKQ,EMA_08,2023,AINI_to_RET,-0.0033766460187408353,0.1309750232590633,0.00015108443526688366,-0.01827832904425467,1,186,1,1,1.3222100910617576,1,182,0.2517045068841926,,0.033754687694031005,0.017827567161515123,,,,,False,,False,0.33560600917892347,,,,,,,,
ARKQ,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,0.5874461948403803,1,182,0.44440134753146554,,0.07046156793956015,0.055139505872629835,-0.053838115246991496,0.2564561266884419,-0.00024169836618052865,0.2081902011354302,False,,False,0.4474177748032737,,,,,,,,
ARKQ,normalized_AINI,2023,AINI_to_RET,-0.0031606922159339223,0.13313934987690687,0.00015106403940859438,-0.015393779816302107,1,186,1,1,1.4467998346039064,1,182,0.23060456844026667,,0.033498132808545966,0.01756678334934625,,,,,False,,False,0.33560600917892347,,,,,,,,
ARKQ,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,0.5796938110435184,1,182,0.4474177748032737,,0.013976461684021335,-0.002276673562945364,-0.06558546644987603,0.10047616742288118,-0.000266829530562526,0.247542126854698,False,,False,0.4474177748032737,,,,,,,,
ARKQ,normalized_AINI_z,2023,AINI_to_RET,-0.0019776716355987566,0.1331393498769072,0.00015106403940860386,-0.0012229630957454824,1,186,1,1,1.4467998346038882,1,182,0.23060456844026667,,0.033498132808545966,0.01756678334934625,,,,,False,,False,0.33560600917892347,,,,,,,,
ARKQ,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,0.5796938110435076,1,182,0.4474177748032737,,0.01397646168402178,-0.0022766735629449197,0.04460230807584435,0.10047616742288099,-0.00335865820993055,3.1158822447847423,False,,False,0.4474177748032737,,,,,,,,
AVGO,EMA_02,2023,AINI_to_RET,-0.0028210493611015757,0.037079344005664455,0.00027384188363454345,-0.012017819862479736,1,186,1,1,0.07509144064104632,1,182,0.7843737300375656,,0.01716728022564984,0.0009667408887100715,,,,,False,,False,0.7843737300375656,,,,,,,,
AVGO,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,0.04086911516115406,1,182,0.8400165708075706,,0.6054761178090935,0.5989729768938588,-0.0176162694835517,0.7656389363603157,-2.0919036683206156e-05,-0.012671762785520579,False,,False,0.843577068902722,,,,,,,,
AVGO,EMA_08,2023,AINI_to_RET,-0.004862803669452402,0.05163042794674036,0.00024780729282263914,-0.0442715956587807,1,186,1,1,3.2487861433974805,1,182,0.07313094659173598,,0.03641797082961129,0.020534750568561022,,,,,False,,True,0.0975079287889813,,,,,,,,
AVGO,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,0.0752455850751002,1,182,0.7841580477369807,,0.06863970006392817,0.053287607207839094,-0.05384458569177332,0.2603788345115377,-0.00020581312429003253,-0.0541284328681627,False,,False,0.843577068902722,,,,,,,,
AVGO,normalized_AINI,2023,AINI_to_RET,-0.004382932436408323,0.057809803119521615,0.00024551688775997094,-0.038182069172270565,1,186,1,1,3.539740945756355,1,182,0.06151145126725713,,0.036444954356710135,0.020562178879073523,,,,,False,,True,0.0975079287889813,,,,,,,,
AVGO,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,0.039046510265969385,1,182,0.843577068902722,,0.011970399598971282,-0.004315802605441288,-0.0655076693024089,0.10578153210165145,-0.00022946426262763998,-0.04592784535879063,False,,False,0.843577068902722,,,,,,,,
AVGO,normalized_AINI_z,2023,AINI_to_RET,-0.001448619085847028,0.057809803119521774,0.0002455168877599777,-0.0030333850473447514,1,186,1,1,3.539740945756341,1,182,0.06151145126725794,,0.036444954356710246,0.020562178879073634,,,,,False,,True,0.0975079287889813,,,,,,,,
AVGO,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,0.039046510265969586,1,182,0.843577068902722,,0.011970399598971282,-0.004315802605441288,0.04044947348878196,0.10578153210165156,-0.002888331092646991,-0.5781066831451904,False,,False,0.843577068902722,,,,,,,,
BOTZ,EMA_02,2023,AINI_to_RET,-0.005832447446420461,0.10594192509204453,0.00025789074352613144,-0.02474921110515912,1,186,1,1,0.7903616159475716,1,182,0.3751643210682719,,0.058475507235018154,0.04295587273889212,,,,,False,,False,0.3751643210682719,,,,,,,,
BOTZ,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,1.1178359904549664,1,182,0.2917862177935509,,0.6081215382268583,0.6016620031426857,-0.016759093401865134,0.7703009842151347,-5.6579827068018755e-05,0.1338450133589759,False,,False,0.729855389202326,,,,,,,,
BOTZ,EMA_08,2023,AINI_to_RET,-0.005362584769486183,0.11121496913737068,0.00025233353576192943,-0.019263426514707905,1,186,1,1,1.8034422738129376,1,182,0.18096925092617122,,0.06479183883944717,0.04937631969943812,,,,,False,,False,0.29303625415296625,,,,,,,,
BOTZ,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,0.20514632975272248,1,182,0.6511380379777592,,0.06956519202593614,0.05422835453185826,-0.05309784602737116,0.2588479571234998,-0.00027030165131896396,0.18711305143886078,False,,False,0.729855389202326,,,,,,,,
BOTZ,normalized_AINI,2023,AINI_to_RET,-0.005009414933542807,0.11419460639882605,0.00025291053440250615,-0.014423509507119972,1,186,1,1,1.5162462157166121,1,182,0.21977719061471515,,0.062360517275387384,0.046904921406300426,,,,,False,,False,0.29303625415296625,,,,,,,,
BOTZ,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,0.11961176687461883,1,182,0.729855389202326,,0.012552677933225564,-0.0037239262766661785,-0.06490534357272654,0.10328237270577083,-0.0002879438384075407,0.17054881922767326,False,,False,0.729855389202326,,,,,,,,
BOTZ,normalized_AINI_z,2023,AINI_to_RET,-0.003900960168618376,0.114194606398824,0.00025291053440249693,-0.001145879702635553,1,186,1,1,1.5162462157165773,1,182,0.21977719061472467,,0.06236051727538716,0.046904921406300204,,,,,False,,False,0.29303625415296625,,,,,,,,
BOTZ,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,0.11961176687461697,1,182,0.729855389202326,,0.012552677933225787,-0.0037239262766659564,0.050448652288064146,0.1032823727057711,-0.003624429930328556,2.1467458668658708,False,,False,0.729855389202326,,,,,,,,
GOOGL,EMA_02,2023,AINI_to_RET,0.004249056726345952,0.018309852563594575,0.00013119325321563289,0.06798111575491961,1,186,1,1,2.1857002794108173,1,182,0.1410262651148001,,0.02109209313867244,0.004956248520079143,,,,,False,,False,0.25849664803110484,,,,,,,,
GOOGL,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,0.05398808604152056,1,182,0.8165246377495715,,0.6055015232259751,0.5989988010813483,-0.017507860128869006,0.7665260027645937,-2.3909977146909764e-05,-0.01818661428909373,False,,False,0.8165246377495715,,,,,,,,
GOOGL,EMA_08,2023,AINI_to_RET,0.0010899175700061544,0.02940424462881445,0.00012640760765594987,0.023847476433103844,1,186,1,1,1.472946298991031,1,182,0.2264540436797527,,0.013416464384329196,-0.0028459015873576465,,,,,False,,False,0.25849664803110484,,,,,,,,
GOOGL,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,0.4441885484550599,1,182,0.5059516828307917,,0.07050262409313224,0.05518123877598613,-0.05361856590457378,0.25979829566250756,-0.0002140400576133237,-0.18244196785433828,False,,False,0.6746022437743889,,,,,,,,
GOOGL,normalized_AINI,2023,AINI_to_RET,0.0006720295404190398,0.029683809873116203,0.00012483650492057746,0.017945736934447603,1,186,1,1,1.2848146615061629,1,182,0.25849664803109756,,0.011421626648451588,-0.004873621263936423,,,,,False,,False,0.25849664803110484,,,,,,,,
GOOGL,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,0.629517474035548,1,182,0.42856553707572254,,0.015132907826641895,-0.0011011651212704532,-0.06523582561890479,0.10545703951880403,-0.00023019901835043597,-0.2659881151118965,False,,False,0.6746022437743889,,,,,,,,
GOOGL,normalized_AINI_z,2023,AINI_to_RET,-0.000707110370380927,0.02968380987311618,0.0001248365049205759,0.001425704034920914,1,186,1,1,1.2848146615061473,1,182,0.25849664803110484,,0.0114216266484517,-0.004873621263936423,,,,,False,,False,0.25849664803110484,,,,,,,,
GOOGL,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,0.6295174740355532,1,182,0.428565537075715,,0.015132907826642006,-0.0011011651212704532,0.044185140761055466,0.10545703951880468,-0.002897579669201743,-3.3480670774368853,False,,False,0.6746022437743889,,,,,,,,
IRBO,EMA_02,2023,AINI_to_RET,-0.005743609879709735,0.01685918340068399,0.0002038828962422843,-0.03569932294703733,1,186,1,1,1.3739839409620447,1,182,0.24266063562854595,,0.032327647004368076,0.01637700382312146,,,,,False,,False,0.24266063562854595,,,,,,,,
IRBO,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,1.086745379896977,1,182,0.2985762086911445,,0.6079103119798481,0.6014472951443511,-0.017011892573913178,0.7693773754615383,-4.546418593946949e-05,0.12720282285708362,False,,False,0.6446164536287089,,,,,,,,
IRBO,EMA_08,2023,AINI_to_RET,-0.004676389619052682,0.02557544245606816,0.00019955577140048748,-0.02176900109441613,1,186,1,1,2.574964688097776,1,182,0.11030035756576256,,0.037227168240378306,0.021357286398186792,,,,,False,,False,0.18592142905432993,,,,,,,,
IRBO,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,0.2618513790118788,1,182,0.6094713866911933,,0.06965714504816267,0.05432182326324231,-0.053373585408868926,0.25812831237367145,-0.00025726306895920123,0.19238799862289963,False,,False,0.6446164536287089,,,,,,,,
IRBO,normalized_AINI,2023,AINI_to_RET,-0.004283957117973687,0.028286631101564676,0.00020056769810030127,-0.01631108290819789,1,186,1,1,2.203349396803001,1,182,0.13944107179074403,,0.03412245475697462,0.01820139631890283,,,,,False,,False,0.18592142905432993,,,,,,,,
IRBO,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,0.21346548539184404,1,182,0.6446164536287089,,0.012878274739973161,-0.0033929624895876476,-0.06508965836405198,0.10258777305182103,-0.00028085560147438174,0.2035322315359372,False,,False,0.6446164536287089,,,,,,,,
IRBO,normalized_AINI_z,2023,AINI_to_RET,-0.0030304412824725805,0.028286631101564094,0.00020056769810030534,-0.0012958384936262364,1,186,1,1,2.2033493968029734,1,182,0.13944107179074744,,0.03412245475697462,0.01820139631890283,,,,,False,,False,0.18592142905432993,,,,,,,,
IRBO,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,0.21346548539183843,1,182,0.6446164536287089,,0.012878274739973161,-0.0033929624895876476,0.04880054398795439,0.10258777305182101,-0.0035352083021255695,2.561917337231638,False,,False,0.6446164536287089,,,,,,,,
META,EMA_02,2023,AINI_to_RET,0.0026970754809689476,-0.02400764786371787,0.0002542147923323977,0.058903831167617854,1,186,1,1,1.5696984801854288,1,182,0.21185813405042714,,0.021891449622591375,0.005768781209776974,,,,,False,,False,0.8474325362017086,,,,,,,,
META,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,0.6617620979017502,1,182,0.4170015087505293,,0.6062305620786526,0.5997398570579711,-0.01763091027813486,0.766812580199891,-9.9110120194916e-06,-0.04813440395731854,False,,False,0.4170015087505293,,,,,,,,
META,EMA_08,2023,AINI_to_RET,-0.001555411155114512,-0.019466505278838586,0.0002364614377624983,-0.002605630010846939,1,186,1,1,0.015999865165399044,1,182,0.8994832416263223,,0.012259471998351645,-0.004021965276400641,,,,,False,,False,0.8994832416263223,,,,,,,,
META,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,2.904223154052815,1,182,0.09005439906819747,,0.07725463703612345,0.062044548635620034,-0.05472902887684325,0.2585033889261088,-0.00012141650787786505,-0.3334413337637118,False,,False,0.12007253209092995,,,,,,,,
META,normalized_AINI,2023,AINI_to_RET,-0.0016827823311304144,-0.019282525532499213,0.00023484611397563083,-0.004659237796332934,1,186,1,1,0.06767804367313518,1,182,0.7950421163835044,,0.012532190459273007,-0.0037447514562334305,,,,,False,,False,0.8994832416263223,,,,,,,,
META,normalized_AINI,2023,RET_to_AINI,,,,,1,186,1,1,3.232147546883143,1,182,0.07386348255633074,,0.022862040129107752,0.00675537046090624,-0.06662532343832751,0.10494459230672648,-0.00011010153872929168,-0.43571816881301545,False,,False,0.12007253209092995,,,,,,,,
META,normalized_AINI_z,2023,AINI_to_RET,-0.001324717303079293,-0.01928252553249934,0.00023484611397562934,-0.0003701544355716588,1,186,1,1,0.06767804367313497,1,182,0.7950421163835044,,0.012532190459273007,-0.0037447514562334305,,,,,False,,False,0.8994832416263223,,,,,,,,
META,normalized_AINI_z,2023,RET_to_AINI,,,,,1,186,1,1,3.232147546883156,1,182,0.0738634825563279,,0.022862040129108196,0.0067553704609067955,0.027190852085065435,0.10494459230672651,-0.0013858789774868615,-5.484506912762799,False,,False,0.12007253209092995,,,,,,,,
MSFT,EMA_02,2023,AINI_to_RET,-0.0014567186043012196,-0.11845278150148476,0.0002758371830980278,0.023121616410660184,1,186,1,1,0.5472724738226845,1,182,0.46038746548950615,,0.0400226488928872,0.024198846402110674,,,,,False,,False,0.46936948131594525,,,,,,,,
MSFT,EMA_02,2023,RET_to_AINI,,,,,1,186,1,1,0.17631502621739814,1,182,0.6750546354558156,,0.6056784416388581,0.5991786357318063,-0.017622295933341473,0.7661031381343989,-1.7983286450532914e-05,-0.036685504408080355,False,,False,0.6750546354558156,,,,,,,,
MSFT,EMA_08,2023,AINI_to_RET,-0.002322612300800257,-0.12006570808523276,0.0002764685852316736,0.011289949105873463,1,186,1,1,0.525657310602678,1,182,0.46936948131594525,,0.040064317783832126,0.02424120214290637,,,,,False,,False,0.46936948131594525,,,,,,,,
MSFT,EMA_08,2023,RET_to_AINI,,,,,1,186,1,1,0.4936660597882765,1,182,0.4831941892203925,,0.07028335548196418,0.054958355847051554,-0.05403163044058133,0.26154250728241213,-0.00018357896713553233,-0.2064812722189997,False,,False,0.6442589189605233,,,,,,,,
