Measure,Period,ADF_stat,ADF_p,PP_stat,PP_p,KPSS_stat,KPSS_p,agree_stationarity,error
META,2023-2025,-24.92752455078886,0.0,-25.041638844893427,0.0,0.12056753484850781,0.1,True,
META,2024,-13.035499556586242,2.2978406491428685e-24,-16.936155824475737,9.694531999160868e-30,0.13983182268179598,0.1,True,
META,2024-2025,-20.75103562652815,0.0,-20.730195901604436,0.0,0.0937405928471097,0.1,True,
META,2025,-11.99931481832826,3.375616570725837e-22,-11.994895705062639,3.4522871825433694e-22,0.13243076456591682,0.1,True,
META,Full,-24.92752455078886,0.0,-25.041638844893427,0.0,0.12056753484850781,0.1,True,
MSFT,2023,-14.987162642506213,1.1393555689608006e-27,-15.173925721299959,6.333873419607217e-28,0.0939438876396909,0.1,True,
MSFT,2023-2024,-16.89997346321702,1.0294973225751234e-29,-22.121451037627466,0.0,0.1660731726627178,0.1,True,
MSFT,2023-2025,-24.866468203536055,0.0,-24.931645335686373,0.0,0.09306827342923095,0.1,True,
MSFT,2024,-12.254281380433838,9.387136358752483e-23,-15.939714131574078,7.564869359947915e-29,0.11619461219296111,0.1,True,
MSFT,2024-2025,-19.85487944208826,0.0,-19.86048402720397,0.0,0.11802287891544734,0.1,True,
MSFT,2025,-11.681989248422179,1.732521347059769e-21,-11.691338918417296,1.6499444531257897e-21,0.29766586594601135,0.1,True,
MSFT,Full,-24.866468203536055,0.0,-24.931645335686373,0.0,0.09306827342923095,0.1,True,
NVDA,2023,-13.378418334557328,5.034058680327423e-25,-13.391969972803684,4.747877587381413e-25,0.15848577010283396,0.1,True,
NVDA,2023-2024,-21.877661747651366,0.0,-21.92058737210204,0.0,0.09682541748895913,0.1,True,
NVDA,2023-2025,-14.567330842125555,4.688929743066256e-27,-25.80312943122314,0.0,0.12602381416469707,0.1,True,
NVDA,2024,-17.126018230806146,7.202743845096835e-30,-17.102786054133308,7.457104975235975e-30,0.2979696332084769,0.1,True,
NVDA,2024-2025,-11.765428291939832,1.1219928779307994e-21,-21.695379142259867,0.0,0.2300593178363651,0.1,True,
NVDA,2025,-7.116025551765076,3.829038314352813e-10,-13.18993611290468,1.1495781371769799e-24,0.2530079439548928,0.1,True,
NVDA,Full,-14.567330842125555,4.688929743066256e-27,-25.80312943122314,0.0,0.12602381416469707,0.1,True,
ROBO,2023,-11.319120885252056,1.1861749258789414e-20,-11.535347996061578,3.745061352655643e-21,0.24458039811267449,0.1,True,
ROBO,2023-2024,-19.313890190154368,0.0,-19.253537059898886,0.0,0.044069137462456325,0.1,True,
ROBO,2023-2025,-23.15990341190648,0.0,-23.15680023029449,0.0,0.04763933052504173,0.1,True,
ROBO,2024,-15.801798282762924,1.0718791393468466e-28,-16.190893681908662,4.1717727394929467e-29,0.03458630711041411,0.1,True,
ROBO,2024-2025,-19.907195371816453,0.0,-19.925558714201625,0.0,0.06537942504879343,0.1,True,
ROBO,2025,-11.750840206281142,1.2102728297482283e-21,-11.788968132288668,9.93114564703685e-22,0.17250114104738332,0.1,True,
ROBO,Full,-23.15990341190648,0.0,-23.15680023029449,0.0,0.04763933052504173,0.1,True,
TSLA,2023,-5.792629692496498,4.832521391057285e-07,-12.75669913672895,8.309916320715432e-24,0.1130761023704387,0.1,True,
TSLA,2023-2024,-20.11153843237688,0.0,-20.164520511146844,0.0,0.20169761655754223,0.1,True,
TSLA,2023-2025,-23.51739804572337,0.0,-23.5230565066989,0.0,0.05378564435981889,0.1,True,
TSLA,2024,-15.415825862720768,3.0803631257940346e-28,-15.42153421730759,3.030061224039197e-28,0.4033333642689063,0.075718377470299,True,
TSLA,2024-2025,-19.53260152746749,0.0,-19.533359377026024,0.0,0.10286391036632742,0.1,True,
TSLA,2025,-11.914651905575303,5.198918599603566e-22,-11.98296929698161,3.668180702867827e-22,0.1485631741652798,0.1,True,
TSLA,Full,-23.51739804572337,0.0,-23.5230565066989,0.0,0.05378564435981889,0.1,True,
TSM,2023,-13.427543369962425,4.0739043827826907e-25,-13.426259693338915,4.096416731694713e-25,0.10834814535719664,0.1,True,
TSM,2023-2024,-21.605311538278684,0.0,-21.954201898980674,0.0,0.09140752759428415,0.1,True,
TSM,2023-2025,-15.265132318577733,4.801005641753992e-28,-25.34259266920912,0.0,0.07337136605860058,0.1,True,
TSM,2024,-16.71221066790876,1.4314476781090884e-29,-17.305420243935224,5.595790316886797e-30,0.10401345989590455,0.1,True,
TSM,2024-2025,-12.699668651399788,1.0867997374899602e-23,-21.21089506106559,0.0,0.12517434400453992,0.1,True,
TSM,2025,-5.371728798696279,3.882452509517069e-06,-12.424087981586387,4.075550153028219e-23,0.26569650714226783,0.1,True,
TSM,Full,-15.265132318577733,4.801005641753992e-28,-25.34259266920912,0.0,0.07337136605860058,0.1,True,
VIX,2023,-14.279886016185017,1.329562932745376e-26,-14.67644463295703,3.206166807216177e-27,0.053587786786147014,0.1,True,
VIX,2023-2024,-11.47768859351038,5.0835802709786474e-21,-22.631033236201223,0.0,0.03615428258944917,0.1,True,
VIX,2023-2025,-23.850852376193693,0.0,-25.568580903223907,0.0,0.03811245063004478,0.1,True,
VIX,2024,-15.562644226838106,2.033310794871464e-28,-16.915978977708917,1.0023537020114826e-29,0.02425438087262232,0.1,True,
VIX,2024-2025,-19.27473393901451,0.0,-20.521173994182405,0.0,0.016132618170037624,0.1,True,
VIX,2025,-11.10842578170644,3.712154397814662e-20,-11.17470339114849,2.5881517485357463e-20,0.0629703377162202,0.1,True,
VIX,Full,-23.850852376193693,0.0,-25.568580903223907,0.0,0.03811245063004478,0.1,True,
^GSPC,2023,-12.445036908189781,3.680713640417704e-23,-12.409730125395676,4.3709359943191377e-23,0.1155460805222966,0.1,True,
^GSPC,2023-2024,-19.709118108694103,0.0,-19.84550521096108,0.0,0.0390656104984045,0.1,True,
^GSPC,2023-2025,-13.59759582097735,1.9813064807790403e-25,-24.894387609920127,0.0,0.050157232112192585,0.1,True,
^GSPC,2024,-15.198789445948403,5.869353704741244e-28,-15.485787852263016,2.5218856957599843e-28,0.054213112962040344,0.1,True,
^GSPC,2024-2025,-11.556557172396989,3.348065476586966e-21,-21.046036770599805,0.0,0.07165170606192044,0.1,True,
^GSPC,2025,-7.1178569323595156,3.7895901800520797e-10,-12.808013871218954,6.537304216929911e-24,0.14473982890531112,0.1,True,
^GSPC,Full,-13.59759582097735,1.9813064807790403e-25,-24.894387609920127,0.0,0.050157232112192585,0.1,True,
^SOX,2023,-13.200938240287392,1.0948305255393504e-24,-13.203955535247301,1.0802908960995567e-24,0.1235735642207544,0.1,True,
^SOX,2023-2024,-21.966181286946032,0.0,-22.308144957905014,0.0,0.07343925241346609,0.1,True,
^SOX,2023-2025,-13.44823976770982,3.7280872712948995e-25,-26.2333004306951,0.0,0.06306770360293242,0.1,True,
^SOX,2024,-17.31955154498495,5.49205376890114e-30,-17.76270861523656,3.333174264259691e-30,0.09169172011693907,0.1,True,
^SOX,2024-2025,-11.312367459637999,1.2300333149181781e-20,-22.184826360143713,0.0,0.07880003742913333,0.1,True,
^SOX,2025,-7.0535490591393675,5.448170068478572e-10,-12.987637673886823,2.8561270909996386e-24,0.21885655949211805,0.1,True,
^SOX,Full,-13.44823976770982,3.7280872712948995e-25,-26.2333004306951,0.0,0.06306770360293242,0.1,True,
binary_EMA_02,2023,-5.4755229295414525,2.346458479762422e-06,-4.31682292465556,0.00041534038890377436,0.6720930172026893,0.016082452981573694,False,
binary_EMA_02,2023-2024,-7.65391323477527,1.7595435943952195e-11,-6.642970957533076,5.352137034437667e-09,0.8285476945797847,0.01,False,
binary_EMA_02,2023-2025,-8.06579500116305,1.5976478593724658e-12,-6.764241120759604,2.742817459087917e-09,0.7626343238742334,0.01,False,
binary_EMA_02,2024,-4.038107413441142,0.0012236022726521058,-5.716052560861006,7.116921043069485e-07,0.4837885709803954,0.04531788941882987,False,
binary_EMA_02,2024-2025,-5.756266442515812,5.810191274188003e-07,-5.480465815324302,2.290460528036181e-06,0.13406101093212952,0.1,True,
binary_EMA_02,2025,-2.7313176176193776,0.06877395982707925,-2.6833405297105917,0.0769657166196222,0.12974412070236935,0.1,False,
binary_EMA_02,Full,-8.06579500116305,1.5976478593724658e-12,-6.764241120759604,2.742817459087917e-09,0.7626343238742334,0.01,False,
binary_EMA_08,2023,-11.047230064841433,5.1863755566720097e-20,-10.463585921942041,1.3394429465512998e-18,0.39599856808773154,0.07887992754839157,True,
binary_EMA_08,2023-2024,-17.45026659226821,4.656940526550119e-30,-17.485426092996526,4.466057494975465e-30,0.7152433521205394,0.012159695261769148,False,
binary_EMA_08,2023-2025,-18.27854990685636,2.3110940185418043e-30,-18.421881363540805,2.1756181987677776e-30,0.5875640725524839,0.023766902495228736,False,
binary_EMA_08,2024,-4.3575366066133645,0.00035263120111188654,-14.833241798643915,1.8852313923387742e-27,0.31512635840345404,0.1,True,
binary_EMA_08,2024-2025,-6.383066258990289,2.1979494013200138e-08,-15.047451141263695,9.399283960263301e-28,0.09105392332146749,0.1,True,
binary_EMA_08,2025,-6.06415990838465,1.1928353041715845e-07,-6.1675227837239275,6.931872695893383e-08,0.10790591432523125,0.1,True,
binary_EMA_08,Full,-18.27854990685636,2.3110940185418043e-30,-18.421881363540805,2.1756181987677776e-30,0.5875640725524839,0.023766902495228736,False,
binary_normalized_AINI,2023,-13.515394965789262,2.8008316928068735e-25,-13.247599535823934,8.908900412542134e-25,0.38104726903973507,0.0853244530001142,True,
binary_normalized_AINI,2023-2024,-21.35699133358342,0.0,-21.4945001866579,0.0,0.6902145212219918,0.014435043525273472,False,
binary_normalized_AINI,2023-2025,-22.532058658450474,0.0,-22.883837446122474,0.0,0.608882940781791,0.02182882356529173,False,
binary_normalized_AINI,2024,-3.638169322410747,0.005071868536529249,-17.73347591755482,3.42679617973723e-30,0.2880788676758188,0.1,True,
binary_normalized_AINI,2024-2025,-6.450473618328851,1.5279573994316794e-08,-18.71345675228266,2.0342068559962485e-30,0.09218936445896747,0.1,True,
binary_normalized_AINI,2025,-5.583438397793946,1.3799550599305805e-06,-8.033250829185436,1.9328927173756637e-12,0.11105480538306063,0.1,True,
binary_normalized_AINI,Full,-22.532058658450474,0.0,-22.883837446122474,0.0,0.608882940781791,0.02182882356529173,False,
binary_normalized_AINI_z,2023,-13.51539496578926,2.800831692806914e-25,-13.24759953582393,8.908900412542332e-25,0.38104726903973307,0.08532445300011506,True,
binary_normalized_AINI_z,2023-2024,-21.35699133358342,0.0,-21.494500186657913,0.0,0.6902145212219957,0.01443504352527312,False,
binary_normalized_AINI_z,2023-2025,-22.532058658450474,0.0,-22.883837446122477,0.0,0.6088829407817962,0.021828823565291255,False,
binary_normalized_AINI_z,2024,-3.6381693224107634,0.005071868536528961,-17.733475917554824,3.42679617973723e-30,0.28807886767581725,0.1,True,
binary_normalized_AINI_z,2024-2025,-6.450473618328853,1.5279573994316457e-08,-18.713456752282664,2.0342068559962485e-30,0.09218936445896753,0.1,True,
binary_normalized_AINI_z,2025,-5.583438397793957,1.3799550599305064e-06,-8.033250829185457,1.9328927173754597e-12,0.1110548053830608,0.1,True,
binary_normalized_AINI_z,Full,-22.532058658450474,0.0,-22.883837446122477,0.0,0.6088829407817962,0.021828823565291255,False,
w0_EMA_02,2023,-4.919159801584324,3.2000095720332084e-05,-6.151626771769002,7.537977567590829e-08,0.3564499534760272,0.09592674419136758,True,
w0_EMA_02,2023-2024,-6.845671117466375,1.7454293389437536e-09,-8.535446360547306,1.0109390180682095e-13,0.30054362464276047,0.1,True,
w0_EMA_02,2023-2025,-4.812517371318196,5.146532671453525e-05,-7.461218170967877,5.3476766439051565e-11,0.2359074246679734,0.1,True,
w0_EMA_02,2024,-5.3954382546145085,3.4627373995232806e-06,-5.4196539363442815,3.0796876955665052e-06,0.21654065052145563,0.1,True,
w0_EMA_02,2024-2025,-3.5882256716719345,0.005990158667567889,-4.664221605342749,9.818719719243584e-05,0.2361420754109427,0.1,True,
w0_EMA_02,2025,-2.011003277187977,0.2817694831862675,-1.9239058741676545,0.3208999406876157,1.1291178248223865,0.01,False,
w0_EMA_02,Full,-4.812517371318196,5.146532671453525e-05,-7.461218170967877,5.3476766439051565e-11,0.2359074246679734,0.1,True,
w0_EMA_08,2023,-14.726517094863379,2.7007632095751053e-27,-14.639718547078706,3.640267964927026e-27,0.23237352123174365,0.1,True,
w0_EMA_08,2023-2024,-8.17249519743042,8.548130050946619e-13,-21.613688250080536,0.0,0.23825376105316384,0.1,True,
w0_EMA_08,2023-2025,-7.067380933190421,5.039496390973105e-10,-23.988543437967,0.0,0.2689727566658235,0.1,True,
w0_EMA_08,2024,-14.608749049596248,4.054780334147915e-27,-15.283799736198777,4.539878562980257e-28,0.15604271926428762,0.1,True,
w0_EMA_08,2024-2025,-5.640377045402577,1.0398205953700158e-06,-18.137703546345996,2.4958437639936807e-30,0.2679885302387956,0.1,True,
w0_EMA_08,2025,-7.1700621017408075,2.819711958569798e-10,-8.70226204651209,3.7813565000431564e-14,1.2397790105585351,0.01,False,
w0_EMA_08,Full,-7.067380933190421,5.039496390973105e-10,-23.988543437967,0.0,0.2689727566658235,0.1,True,
w0_normalized_AINI,2023,-17.83442766034186,3.123996198677096e-30,-18.06910750702312,2.6074452886961664e-30,0.21000519999136336,0.1,True,
w0_normalized_AINI,2023-2024,-8.151649894171406,9.65999079835175e-13,-26.18928188503977,0.0,0.2410645651381444,0.1,True,
w0_normalized_AINI,2023-2025,-7.144256876034398,3.263706993571684e-10,-28.261342549116357,0.0,0.28749752875537515,0.1,True,
w0_normalized_AINI,2024,-18.099947063526123,2.555365062806942e-30,-18.499946035632252,2.1212318087472156e-30,0.1636968181501728,0.1,True,
w0_normalized_AINI,2024-2025,-5.9803969960259655,1.84441934709088e-07,-21.92792728587695,0.0,0.30360974876755503,0.1,True,
w0_normalized_AINI,2025,-2.728739699558969,0.06919570792244432,-10.802194983545315,2.0045954752829823e-19,1.3554037723645378,0.01,False,
w0_normalized_AINI,Full,-7.144256876034398,3.263706993571684e-10,-28.261342549116357,0.0,0.28749752875537515,0.1,True,
