Measure,Period,ADF_stat,ADF_p,PP_stat,PP_p,KPSS_stat,KPSS_p,agree_stationarity,error
w2_EMA_08,2024-2025,-5.060152377099895,1.68497385134627e-05,-18.247361633609046,2.347268792086243e-30,0.3321105855076727,0.1,True,
w2_EMA_08,2025,-2.05538918236986,0.26282681327628243,-7.463748955044332,5.270453788362737e-11,1.136394386866127,0.01,False,
w2_EMA_08,Full,-10.03154353096115,1.580190082743255e-17,-22.967017384346164,0.0,0.23456544611972457,0.1,True,
w2_normalized_AINI,2023,-15.950092097380164,7.373637749305817e-29,-15.983810671131975,6.789131210542008e-29,0.10312032813011632,0.1,True,
w2_normalized_AINI,2023-2024,-25.04487188684229,0.0,-25.18510695879988,0.0,0.06985891120852684,0.1,True,
w2_normalized_AINI,2023-2025,-8.389267745631464,2.3911227913777076e-13,-27.59746169765748,0.0,0.24864112368532773,0.1,True,
w2_normalized_AINI,2024,-12.373924481031871,5.2066612348676317e-23,-19.779556981712126,0.0,0.1569317822847573,0.1,True,
w2_normalized_AINI,2024-2025,-4.31727715246205,0.0004145859772612921,-22.30582252045633,0.0,0.35388805335319146,0.09703101148569333,True,
w2_normalized_AINI,2025,-2.2222362721458992,0.19827417754422894,-9.61704695112017,1.7490744708805453e-16,1.24289647581932,0.01,False,
w2_normalized_AINI,Full,-8.389267745631464,2.3911227913777076e-13,-27.59746169765748,0.0,0.24864112368532773,0.1,True,
w2_normalized_AINI_z,2023,-15.950092097380166,7.373637749305817e-29,-15.983810671131973,6.789131210542008e-29,0.10312032813011622,0.1,True,
w2_normalized_AINI_z,2023-2024,-25.044871886842294,0.0,-25.18510695879989,0.0,0.06985891120852657,0.1,True,
w2_normalized_AINI_z,2023-2025,-8.389267745631486,2.391122791377449e-13,-27.597461697657504,0.0,0.248641123685326,0.1,True,
w2_normalized_AINI_z,2024,-12.373924481031858,5.2066612348679667e-23,-19.77955698171212,0.0,0.1569317822847574,0.1,True,
w2_normalized_AINI_z,2024-2025,-4.317277152462052,0.00041458597726128804,-22.30582252045633,0.0,0.3538880533531921,0.09703101148569304,True,
w2_normalized_AINI_z,2025,-2.222236272145897,0.19827417754422977,-9.617046951120164,1.7490744708805948e-16,1.2428964758193208,0.01,False,
w2_normalized_AINI_z,Full,-8.389267745631486,2.391122791377449e-13,-27.597461697657504,0.0,0.248641123685326,0.1,True,
